SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
382,39134,Jacksonville,City,NC,0.976864097,1,0.985321347,0.955414013,0.978665865,0.975624865,0.978962248,0.979919679,0.971911479,0.970285021,0.958692859,0.968152866,0.95754717,0.973880671,0.967252881,0.975541968,0.97826087,0.95689996,0.956341649,0.939927858,0.945532178,0.956616419,0.928604916,0.96,0.93917418,0.943184599,0.968967701,0.93442323,0.959304218,0.942065491,0.932241928,0.955566173,0.938604157,0.916707295,0.929677041,0.933037119,0.886057692,0.959259259,0.935336542,0.976997142,0.934579439,0.945626478,0.943570144,0.959466393,0.906976744,0.955621302,0.907271514,0.948717949,0.95,0.956086715,0.952819832,0.974358974,0.946625732,0.966895081,0.947306098,0.975579151,0.962258454,0.932595954,0.936363636,0.94037615,0.953010976,0.912662965,0.952705775,0.972332016,0.985915493,0.972762646,0.95323741,0.945664098,0.9842413,0.94418954,0.971264368,0.920100675,0.960487758,0.921722535,0.963525499,0.942285041,0.989130761,0.993831391,0.977279601,0.96309269,0.961032122,0.972544689,0.962962963,0.967311541,0.96178356,0.975696926,0.969526409,0.985814624,0.977825059,0.9854293,0.969355847,0.975714286,0.979296066,0.969654914,0.95983871,0.985049362,0.971983991,0.977840112,0.99137931,0.979205122,0.986673244,0.982222222,0.985181704,0.981818182,0.991693015,0.970464135,0.977675135,0.984477967,0.989181287,0.989024647,1
383,13715,Santa Cruz,City,CA,,,,,,,,,,,,,,,,,0.951359084,0.942285041,0.906661377,0.899370474,0.943952802,0.96035401,0.910684474,0.915846206,0.890868597,0.912470742,0.938166311,1,0.968280467,0.976542791,0.984251969,0.974499089,0.948964241,0.965358529,0.980952381,0.955668274,0.935745422,0.981464577,0.973333333,0.994252874,1,1,1,1,0.975369458,0.986155974,0.984434205,0.969355847,0.94761171,0.965847234,0.980760302,0.987128119,1,0.996563574,1,0.994130232,0.97,0.977443609,0.977591524,0.969813586,0.962288687,0.994475609,1.005649718,1.002618698,1.011122346,1,1,1,1,0.973574409,0.971453711,0.976640712,0.972907969,0.998663102,1.001818328,1.000325827,1.007176035,1,1,0.990279107,1,0.988296489,0.985140562,0.958614296,0.992201635,0.998122653,1,1,1.000726189,1,1.008836883,1,1,1,0.991856381,1,0.969018869,1,1,1.00079766,1.001177856,1,1,1,0.966504981,0.975975976,0.954553113,0.928726933,0.921904762,0.919799384,0.978131628
384,32489,Lexington,City,SC,0.92807534,0.924276169,0.9451671,0.923024309,0.929942524,0.942293645,0.954471752,0.92555332,0.917826977,0.909337012,0.938572472,0.935467734,0.916271722,0.934782609,0.932028276,0.897795591,0.943502507,0.908531963,0.920920921,0.954057058,0.906516625,0.914614537,0.857142857,0.934108527,0.921189591,0.879992163,0.925783058,0.921002613,0.94,0.938594412,0.943609023,0.926932323,0.950832342,0.919968615,0.912970195,0.931034483,0.944319037,0.919825688,0.931506849,0.904657345,0.943910256,0.933458647,0.953701282,0.938449816,0.941504178,0.932237441,0.959132611,0.939532842,0.892153375,0.967139656,0.939130435,0.94972067,0.957354221,0.964260186,0.961538462,0.949820789,0.946856568,0.933572772,0.933333333,0.950125312,0.937,0.954133265,0.954745522,0.972832524,0.974817227,0.967531098,0.965412638,0.964259698,0.955265199,0.956855388,0.964882943,0.95817962,0.946806202,0.954545455,0.958732972,0.965517241,0.970218706,0.974043162,0.975991649,0.963517306,0.971575023,0.971822551,0.965729952,0.955980861,0.963319748,0.962036175,0.966183575,0.975609756,0.975605646,0.973499189,0.969814535,0.976058932,0.970625798,0.9706696,0.974554707,0.972354623,0.965739479,0.973130917,0.970485243,0.981710597,0.974882847,0.983460912,0.982291256,0.974196946,0.973983719,0.974545455,0.975214193,0.970938109,0.978431174,0.974912671,0.981263755
385,17386,Chapel Hill,City,NC,0.867079562,0.943514579,0.899146201,0.943952802,0.938319326,0.947368421,0.933962264,0.945413918,0.906542056,0.899892482,0.929348337,0.918367347,0.874684609,0.929187352,0.897742577,0.936842105,0.943078478,0.945787215,0.928571429,0.891719745,0.9,0.89422285,0.895393477,0.860738037,0.889908257,0.90212766,0.910714286,0.916219577,0.950506187,0.950832112,0.946830986,0.924412666,0.937459923,0.937695353,0.918346253,0.940189643,0.938967136,0.939499662,0.93812709,0.949790795,0.969404469,0.96815409,0.95890411,0.96,0.952212389,0.936302928,0.96,0.957446809,0.945399393,0.917652457,0.962811936,0.961038961,0.963951515,0.958637101,0.95922646,0.951996928,0.935859442,0.932078853,0.903068371,0.926211057,0.945421245,0.933988764,0.963917526,0.960784314,0.957446809,0.974074074,0.952839269,0.970579582,0.956962025,0.953510064,0.945736434,0.937137927,0.940407689,0.958549223,0.975384615,0.960714286,0.970660438,0.970485243,0.965189126,0.969924812,0.955956184,0.952419355,0.936263599,0.952646757,0.971159506,0.952197053,0.97826087,0.989247312,0.981060334,0.979370702,0.976390556,0.976260336,0.971428571,0.969883242,0.947782909,0.950475238,0.96260357,0.97337646,0.988538682,0.987746937,1,0.985507246,0.981887512,0.98096125,0.986622074,0.979183673,0.980716918,0.970940351,0.976047138,0.971698113,0.988126342
386,32287,Kennesaw,City,GA,,,,,,,,,,,,,,,,,,,,,,,,,,0.888631578,0.90739879,0.911854103,0.942857143,0.93347237,0.950316772,0.934709524,0.95202974,0.936168807,0.940242374,0.950727815,0.945810754,0.939774153,0.952380952,0.944706863,0.963636364,0.953488372,0.960405941,0.958490566,0.95684803,0.952941176,0.962278676,0.966101695,0.954545455,0.933955971,0.961666667,0.977777778,0.975943701,0.961934376,0.964506173,0.964864865,0.950617273,0.95175103,0.940816327,0.95862069,0.954460624,0.94302554,0.97037037,0.976225296,0.974632844,0.97123755,0.971695594,0.974212034,0.965954545,0.961538462,0.959863158,0.974484432,0.958333333,0.947619048,0.963592435,0.979112903,0.983000491,0.989361702,0.980392157,0.978723404,0.96955166,0.971888569,0.977718873,0.975487744,0.969988201,0.97164102,0.98666311,0.988757244,0.984964774,0.986486486,0.980492424,0.978936282,0.96786589,0.973333333,0.979020979,0.966153846,0.969355847,0.975030775,0.981700343,1,0.994542147,0.997493734,1,0.981191038,0.981845128,0.967016056,0.967553071,0.963834791,0.976283525,0.973684211,0.982758621
387,395557,Woodbridge,City,NJ,0.884277402,0.916302163,0.90861477,0.938174617,0.873333333,0.913006138,0.915428918,0.892857143,0.928153942,0.850009379,0.875587312,0.865282409,0.892356943,0.838860362,0.856372132,0.838762337,0.886927374,0.919584456,0.881349349,0.88,0.868181818,0.846504559,0.878659356,0.867290092,0.884377764,0.9,0.855530867,0.872711792,0.900418799,0.914288327,0.909895697,0.918854415,0.896848138,0.893691197,0.922222222,0.915016053,0.906050471,0.910744303,0.94037615,0.925484161,0.938864629,0.953545232,0.926334543,0.934379988,0.937980769,0.919642857,0.939597315,0.909230069,0.933670749,0.905013193,0.9196515,0.935779817,0.959739732,0.957683742,0.937845335,0.944477342,0.94905792,0.93303975,0.918918919,0.937238461,0.932128163,0.950168171,0.937785116,0.942511861,0.9246108,0.946766702,0.943927867,0.955854865,0.942641174,0.959867795,0.948587673,0.94037615,0.937233461,0.931226766,0.918878738,0.954713904,0.953678474,0.956412669,0.969899666,0.950732115,0.948770484,0.940286298,0.937860716,0.930232558,0.934545455,0.94795539,0.937415288,0.943952802,0.964036331,0.964989703,0.961906594,0.963059786,0.972864184,0.948379352,0.965517241,0.948602967,0.969861421,0.942028986,0.961923848,0.961538462,0.967828968,0.9713623,0.970873786,0.967460317,0.971552254,0.965081623,0.966542751,0.956895943,0.952380952,0.958524385,0.962962963
388,37933,Clinton,City,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981524249,0.993328391,1,0.983879933,0.981356447,0.978997494,0.96750192,0.964285714,0.958089156,0.947368421,0.932421425,0.96236303
389,45127,Elkhart,City,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983260893,1.000171674,0.977702703,1.013075823,0.992784195,0.899355197,0.944264145,0.990998363,1.008361749,0.967940524,1.009862844,1.008112737,0.941142857,0.958868596,1.001225,1.009955952,0.958244804,0.921481868,0.914100385,0.963127273,0.970833333,0.972323088,0.958558219,0.965110936,0.977455356,0.962962963,0.971308239,0.948520445,0.950848485,0.902246629,0.929619311,0.976548607,0.97163698,0.973066453,1,0.977230665,0.978601887,0.946512702,1,0.961545894,0.971142739,0.963101939,0.922989986,0.96969697,0.978013729,1,1,0.980349345,1,0.988991616,0.997206349,0.980706882,0.960320213,0.974358974,0.985714082,0.952354225,0.96285374,1,1.001430615,0.99617293,1,0.981328181,0.988235294,0.967998539,0.979616027,0.994997221,0.986418871,0.979591837,1,1,1,1,0.979310345,1,1,1,0.933899333,0.957671958,0.985210431,0.965891975
390,31163,Daly City,City,CA,0.976801594,0.96958563,1.005154639,1,1.019910953,0.995327103,0.989821883,0.998095238,0.994991653,0.971057514,0.932642487,0.953499918,0.925925926,0.951511544,0.956435644,0.950588235,0.973155483,0.971243043,0.944047169,0.917073171,0.955844156,0.974499089,0.943141154,0.9375,0.936532307,0.963277565,0.957854406,1.000892094,1.013848968,1.046184739,1.025854879,1.068037864,1.037931685,1.005905887,1.095768374,1.048623883,1.068837171,1.109938367,1.142355009,1.079858732,1.093599102,1.07226639,1.072961373,1.06193209,1.034550583,1.029684601,0.989974937,0.986960553,1.045299145,1.072961373,1.052846869,1.056338028,1.079448452,1.063829787,1.0516438,1.03075173,1.071649019,1.021905315,1.034488455,1.038604787,1.013223244,1.042993631,1.082227968,1.068041237,1.111111111,1.089788732,1.106713776,1.074966857,1.093489149,1.09649562,1.063672328,1.082758621,1.029,1.045045045,1.06737935,1.088285229,1.093994061,1.054216867,1.074498567,1.071932299,1.073842303,1.072480927,1.063829787,1.064808698,1.049441313,1.055555556,1.092625957,1.096136315,1.117712807,1.117438588,1.12640801,1.105836445,1.094877618,1.103790455,1.125607703,1.136868826,1.219265148,1.169444835,1.223581758,1.19047619,1.179457054,1.18686444,1.10279132,1.109984849,1.081926836,1.089876033,1.069820911,1,1.055068836,1.04746084,1.024
391,33645,Rialto,City,CA,0.978792822,0.9515307,1.019083969,1.001053741,1.036,1.021325391,1.012373453,1,1.000580168,1.000935454,1.000625391,0.972361105,1.023133289,1.000667111,0.995918367,1,0.984566259,1,1,0.995798319,1,0.999194847,1.000263296,0.997542998,1,0.966873449,0.998858447,0.976468785,0.997991968,1.000834028,1.012734991,1.000232666,1,1,1,1.000633941,1.013177911,1.007142857,1.000595677,1.000568408,1.015129331,1.000476417,1.020833333,1.024561404,1.022222222,1.005172473,1.000430342,1.008695652,1.000168683,1.000769823,1.000925926,1,1,1.005483156,0.99653713,0.987275121,1.00020842,1,1,0.989090909,0.978756708,0.981845128,0.988219246,0.989997435,0.988823408,1,1.004954517,1.000690131,1.00040032,1,1.000181884,1,1,0.990082052,1,1,1,1.000293952,1.003703704,1.002706109,1.002970475,1,0.987943259,0.98662081,1,0.995604729,0.988374392,1.000270343,1,0.996895481,1.000331254,1,1.000363769,1.000283024,1.005291005,1.000297961,1,1,1,1.002560838,1.00035727,1.005648161,1,1,1,0.984326441,0.987898246,0.991294972,0.994284353,0.990468004,1
392,11049,Davie,City,FL,0.856046824,0.846796755,0.842935112,0.855229172,0.900946801,0.918486162,0.931066951,0.919372418,0.923076923,0.915867945,0.905263158,0.890538033,0.90403338,0.95,0.874895566,0.88900403,0.890494859,0.915088317,0.896365873,0.914776205,0.9375,0.888529887,0.899014767,0.891281194,0.934579439,0.943396226,0.92327212,0.894657297,0.923462469,0.960677416,0.960056001,0.960396039,0.968439366,0.950276243,0.923076923,0.957055215,0.9437751,0.958181818,0.948354061,0.940298507,0.96383257,0.955953177,0.962202782,0.961288646,0.963687151,0.962551977,0.948979592,0.96054392,0.941438102,0.94954783,0.959166895,0.953177258,0.948081264,0.955402462,0.956733537,0.950618509,0.947302592,0.949278734,0.940408267,0.942079553,0.936305732,0.939393939,0.953992085,0.955293194,0.959426654,0.959183673,0.958951363,0.947306098,0.955327583,0.961904762,0.957156885,0.943176459,0.934253523,0.962528766,0.969311493,0.946153846,0.962439754,0.96097561,0.976166206,0.960256068,0.957078466,0.955070712,0.960649626,0.949302004,0.948851001,0.966774086,0.955414013,0.955784987,0.967125894,0.949258756,0.961336854,0.950424297,0.951219512,0.959954812,0.955932203,0.957308183,0.954545455,0.962422276,0.958466472,0.959416469,0.956711531,0.961724791,0.960256068,0.96,0.955690594,0.949695051,0.946261682,0.945205479,0.931646149,0.939670241,0.962970845
393,10917,Columbia,City,MD,,,,,,,,,,,,,,,,,,0.941666667,0.926428001,0.955315871,0.939068566,0.937384216,0.925649448,0.954545455,0.909838312,0.920631835,0.95635508,0.943396226,0.974613442,0.969408199,0.963636364,0.948993291,0.970420373,0.954054054,0.959281046,0.935101374,0.967741935,0.970368745,0.963406894,0.975609756,0.979908658,0.984126984,0.99009901,0.981651376,0.9839737,0.973738651,0.974279034,0.973913043,0.964150943,0.966029359,0.978935735,0.975881262,0.974381868,0.97979798,0.977839335,0.970537634,0.971706202,0.957886689,0.96763754,0.965060647,0.95339432,0.983407215,0.951807229,0.961503337,0.981132075,0.978349411,0.974555646,0.974025974,0.957914417,0.970194039,0.966029084,0.960628652,0.963227713,0.965533889,0.958010986,0.975609756,0.987744363,0.988212882,0.98173516,0.977653631,0.98,0.9728,0.976,0.975348339,0.964619883,0.95897818,0.972693305,0.991997332,0.991652755,1,0.980645161,0.990439749,0.983495378,0.969774943,0.974119446,0.973082707,0.979152675,0.96734961,0.974468085,0.9875,1,1,1,0.994559546,0.990521114,0.980821918,0.983666667,0.981448307,0.959520362,0.967451923,0.988314282
